Year,Semester,Mark,Grade,Number of Students
2022,2,97,A+,1
2022,2,95,A+,2
2022,2,94,A+,1
2022,2,93,A+,1
2022,2,92,A+,2
2022,2,91,A+,1
2022,2,90,A+,1
2022,2,89,A,3
2022,2,86,A,1
2022,2,85,A,4
2022,2,83,A-,3
2022,2,82,A-,1
2022,2,81,A-,3
2022,2,80,A-,2
2022,2,79,B+,2
2022,2,78,B+,2
2022,2,77,B+,1
2022,2,76,B+,4
2022,2,75,B+,1
2022,2,74,B,2
2022,2,73,B,1
2022,2,72,B,2
2022,2,70,B,2
2022,2,69,B-,4
2022,2,67,B-,1
2022,2,66,B-,2
2022,2,65,B-,2
2022,2,64,C+,1
2022,2,62,C+,1
2022,2,61,C+,3
2022,2,60,C+,1
2022,2,59,C,1
2022,2,58,C,1
2022,2,57,C,1
2022,2,53,C-,1
2022,2,52,C-,1
2022,2,50,C-,1
2022,2,48,FD,1
2022,2,45,FD,1
2022,2,39,FE,1
2022,2,38,FE,1
2022,2,36,FE,1
2022,2,28,FE,1
2022,2,26,FE,1
2022,2,19,FE,1
2022,2,17,FE,1
2022,2,12,FE,2
2022,2,11,FE,1
2022,2,9,FE,1
